"Series Description","Percent change of total consumer credit, seasonally adjusted at an annual rate","Percent change of total revolving consumer credit, seasonally adjusted at an annual rate","Percent change of total nonrevolving consumer credit, seasonally adjusted at an annual rate","Total consumer credit owned and securitized, seasonally adjusted flow, monthly rate","Revolving consumer credit owned and securitized, seasonally adjusted flow, monthly rate","Nonrevolving consumer credit owned and securitized, seasonally adjusted flow, monthly rate","Total consumer credit owned and securitized, seasonally adjusted level","Revolving consumer credit owned and securitized, seasonally adjusted level","Nonrevolving consumer credit owned and securitized, seasonally adjusted level"
"Unit:","Percent","Percent","Percent","Currency","Currency","Currency","Currency","Currency","Currency"
"Multiplier:","1","1","1","1000000","1000000","1000000","1000000","1000000","1000000"
"Currency:","USD","USD","USD","USD","USD","USD","USD","USD","USD"
"Unique Identifier: ","G19/CCOUT/DTCTL_@%A_BA.M","G19/CCOUT/DTCTLR_@%A_BA.M","G19/CCOUT/DTCTLN_@%A_BA.M","G19/CCOUT/DTCTL_XDF_BA.M","G19/CCOUT/DTCTLR_XDF_BA.M","G19/CCOUT/DTCTLN_XDF_BA.M","G19/CCOUT/DTCTL.M","G19/CCOUT/DTCTLR.M","G19/CCOUT/DTCTLN.M"
"Time Period","DTCTL_@%A_BA.M","DTCTLR_@%A_BA.M","DTCTLN_@%A_BA.M","DTCTL_XDF_BA.M","DTCTLR_XDF_BA.M","DTCTLN_XDF_BA.M","DTCTL.M","DTCTLR.M","DTCTLN.M"
1943-01,,,,,,,6577.83,,6577.83
1943-02,-20.94,,-20.94,-114.79,,-114.79,6463.04,,6463.04
1943-03,-42.49,,-42.49,-228.83,,-228.83,6234.21,,6234.21
1943-04,-20.88,,-20.88,-108.45,,-108.45,6125.75,,6125.75
1943-05,-37.12,,-37.12,-189.49,,-189.49,5936.26,,5936.26
1943-06,-23.05,,-23.05,-114.03,,-114.03,5822.23,,5822.23
1943-07,-21.41,,-21.41,-103.86,,-103.86,5718.37,,5718.37
1943-08,-16.71,,-16.71,-79.62,,-79.62,5638.75,,5638.75
1943-09,1.88,,1.88,8.83,,8.83,5647.59,,5647.59
1943-10,0.67,,0.67,3.15,,3.15,5650.74,,5650.74
1943-11,-15.69,,-15.69,-73.87,,-73.87,5576.87,,5576.87
1943-12,-24.60,,-24.60,-114.35,,-114.35,5462.52,,5462.52
1944-01,-14.05,,-14.05,-63.95,,-63.95,5398.57,,5398.57
1944-02,-9.83,,-9.83,-44.21,,-44.21,5354.36,,5354.36
1944-03,3.59,,3.59,16.00,,16.00,5370.36,,5370.36
1944-04,1.97,,1.97,8.82,,8.82,5379.18,,5379.18
1944-05,11.45,,11.45,51.32,,51.32,5430.50,,5430.50
1944-06,8.24,,8.24,37.29,,37.29,5467.79,,5467.79
1944-07,6.67,,6.67,30.41,,30.41,5498.20,,5498.20
1944-08,7.80,,7.80,35.75,,35.75,5533.96,,5533.96
1944-09,3.31,,3.31,15.27,,15.27,5549.23,,5549.23
1944-10,3.61,,3.61,16.71,,16.71,5565.93,,5565.93
1944-11,0.90,,0.90,4.16,,4.16,5570.10,,5570.10
1944-12,3.36,,3.36,15.59,,15.59,5585.69,,5585.69
1945-01,3.66,,3.66,17.04,,17.04,5602.73,,5602.73
1945-02,-6.19,,-6.19,-28.91,,-28.91,5573.81,,5573.81
1945-03,20.21,,20.21,93.87,,93.87,5667.69,,5667.69
1945-04,-18.05,,-18.05,-85.24,,-85.24,5582.45,,5582.45
1945-05,4.90,,4.90,22.80,,22.80,5605.25,,5605.25
1945-06,21.24,,21.24,99.21,,99.21,5704.45,,5704.45
1945-07,9.32,,9.32,44.33,,44.33,5748.78,,5748.78
1945-08,3.81,,3.81,18.23,,18.23,5767.01,,5767.01
1945-09,-1.82,,-1.82,-8.74,,-8.74,5758.27,,5758.27
1945-10,36.21,,36.21,173.75,,173.75,5932.02,,5932.02
1945-11,33.08,,33.08,163.53,,163.53,6095.55,,6095.55
1945-12,92.82,,92.82,471.50,,471.50,6567.05,,6567.05
1946-01,-11.43,,-11.43,-62.53,,-62.53,6504.51,,6504.51
1946-02,48.23,,48.23,261.44,,261.44,6765.95,,6765.95
1946-03,42.48,,42.48,239.50,,239.50,7005.45,,7005.45
1946-04,56.15,,56.15,327.77,,327.77,7333.22,,7333.22
1946-05,32.59,,32.59,199.15,,199.15,7532.37,,7532.37
1946-06,27.06,,27.06,169.84,,169.84,7702.21,,7702.21
1946-07,36.06,,36.06,231.43,,231.43,7933.64,,7933.64
1946-08,62.24,,62.24,411.52,,411.52,8345.16,,8345.16
1946-09,36.59,,36.59,254.44,,254.44,8599.60,,8599.60
1946-10,41.24,,41.24,295.54,,295.54,8895.14,,8895.14
1946-11,43.59,,43.59,323.14,,323.14,9218.28,,9218.28
1946-12,29.43,,29.43,226.11,,226.11,9444.39,,9444.39
1947-01,41.40,,41.40,325.81,,325.81,9770.20,,9770.20
1947-02,39.16,,39.16,318.80,,318.80,10089.00,,10089.00
1947-03,30.55,,30.55,256.85,,256.85,10345.85,,10345.85
1947-04,34.81,,34.81,300.09,,300.09,10645.94,,10645.94
1947-05,31.60,,31.60,280.37,,280.37,10926.31,,10926.31
1947-06,22.99,,22.99,209.33,,209.33,11135.65,,11135.65
1947-07,24.62,,24.62,228.47,,228.47,11364.12,,11364.12
1947-08,23.10,,23.10,218.77,,218.77,11582.88,,11582.88
1947-09,28.74,,28.74,277.41,,277.41,11860.30,,11860.30
1947-10,34.89,,34.89,344.83,,344.83,12205.13,,12205.13
1947-11,32.42,,32.42,329.74,,329.74,12534.87,,12534.87
1947-12,30.71,,30.71,320.75,,320.75,12855.62,,12855.62
1948-01,34.82,,34.82,373.00,,373.00,13228.61,,13228.61
1948-02,26.82,,26.82,295.66,,295.66,13524.28,,13524.28
1948-03,35.22,,35.22,396.96,,396.96,13921.24,,13921.24
1948-04,29.55,,29.55,342.83,,342.83,14264.07,,14264.07
1948-05,19.87,,19.87,236.21,,236.21,14500.28,,14500.28
1948-06,22.76,,22.76,274.99,,274.99,14775.27,,14775.27
1948-07,21.63,,21.63,266.30,,266.30,15041.57,,15041.57
1948-08,15.01,,15.01,188.13,,188.13,15229.70,,15229.70
1948-09,22.49,,22.49,285.44,,285.44,15515.14,,15515.14
1948-10,4.99,,4.99,64.48,,64.48,15579.62,,15579.62
1948-11,1.83,,1.83,23.74,,23.74,15603.37,,15603.37
1948-12,15.37,,15.37,199.86,,199.86,15803.23,,15803.23
1949-01,7.48,,7.48,98.47,,98.47,15901.70,,15901.70
1949-02,8.12,,8.12,107.55,,107.55,16009.26,,16009.26
1949-03,6.28,,6.28,83.73,,83.73,16092.98,,16092.98
1949-04,23.88,,23.88,320.22,,320.22,16413.20,,16413.20
1949-05,16.44,,16.44,224.90,,224.90,16638.10,,16638.10
1949-06,16.07,,16.07,222.83,,222.83,16860.93,,16860.93
1949-07,14.25,,14.25,200.17,,200.17,17061.10,,17061.10
1949-08,20.71,,20.71,294.39,,294.39,17355.49,,17355.49
1949-09,23.49,,23.49,339.67,,339.67,17695.16,,17695.16
1949-10,22.12,,22.12,326.16,,326.16,18021.32,,18021.32
1949-11,27.61,,27.61,414.67,,414.67,18435.99,,18435.99
1949-12,21.88,,21.88,336.22,,336.22,18772.21,,18772.21
1950-01,17.81,,17.81,278.66,,278.66,19050.87,,19050.87
1950-02,20.20,,20.20,320.76,,320.76,19371.63,,19371.63
1950-03,22.50,,22.50,363.20,,363.20,19734.83,,19734.83
1950-04,25.15,,25.15,413.54,,413.54,20148.38,,20148.38
1950-05,28.19,,28.19,473.30,,473.30,20621.68,,20621.68
1950-06,28.93,,28.93,497.16,,497.16,21118.84,,21118.84
1950-07,54.97,,54.97,967.45,,967.45,22086.29,,22086.29
1950-08,34.88,,34.88,641.97,,641.97,22728.26,,22728.26
1950-09,23.41,,23.41,443.31,,443.31,23171.57,,23171.57
1950-10,3.66,,3.66,70.58,,70.58,23242.15,,23242.15
1950-11,0.85,,0.85,16.41,,16.41,23258.56,,23258.56
1950-12,-1.52,,-1.52,-29.41,,-29.41,23229.16,,23229.16
1951-01,29.37,,29.37,568.44,,568.44,23797.60,,23797.60
1951-02,15.72,,15.72,311.81,,311.81,24109.42,,24109.42
1951-03,8.54,,8.54,171.54,,171.54,24280.96,,24280.96
1951-04,-10.12,,-10.12,-204.81,,-204.81,24076.15,,24076.15
1951-05,-4.05,,-4.05,-81.27,,-81.27,23994.88,,23994.88
1951-06,-7.69,,-7.69,-153.85,,-153.85,23841.03,,23841.03
1951-07,-6.77,,-6.77,-134.47,,-134.47,23706.57,,23706.57
1951-08,11.82,,11.82,233.54,,233.54,23940.11,,23940.11
1951-09,7.93,,7.93,158.18,,158.18,24098.29,,24098.29
1951-10,9.45,,9.45,189.72,,189.72,24288.01,,24288.01
1951-11,17.38,,17.38,351.73,,351.73,24639.74,,24639.74
1951-12,-0.57,,-0.57,-11.79,,-11.79,24627.95,,24627.95
1952-01,8.48,,8.48,173.97,,173.97,24801.92,,24801.92
1952-02,16.93,,16.93,350.00,,350.00,25151.92,,25151.92
1952-03,2.08,,2.08,43.66,,43.66,25195.58,,25195.58
1952-04,16.79,,16.79,352.47,,352.47,25548.05,,25548.05
1952-05,28.11,,28.11,598.42,,598.42,26146.47,,26146.47
1952-06,28.27,,28.27,615.97,,615.97,26762.43,,26762.43
1952-07,20.08,,20.08,447.76,,447.76,27210.19,,27210.19
1952-08,11.40,,11.40,258.59,,258.59,27468.78,,27468.78
1952-09,17.52,,17.52,401.04,,401.04,27869.82,,27869.82
1952-10,26.99,,26.99,626.74,,626.74,28496.56,,28496.56
1952-11,23.27,,23.27,552.55,,552.55,29049.11,,29049.11
1952-12,26.29,,26.29,636.46,,636.46,29685.58,,29685.58
1953-01,32.09,,32.09,793.87,,793.87,30479.45,,30479.45
1953-02,16.03,,16.03,407.16,,407.16,30886.61,,30886.61
1953-03,29.24,,29.24,752.72,,752.72,31639.33,,31639.33
1953-04,18.13,,18.13,478.02,,478.02,32117.35,,32117.35
1953-05,11.75,,11.75,314.47,,314.47,32431.82,,32431.82
1953-06,2.58,,2.58,69.76,,69.76,32501.58,,32501.58
1953-07,10.73,,10.73,290.72,,290.72,32792.30,,32792.30
1953-08,9.82,,9.82,268.31,,268.31,33060.61,,33060.61
1953-09,7.08,,7.08,195.13,,195.13,33255.74,,33255.74
1953-10,8.17,,8.17,226.54,,226.54,33482.28,,33482.28
1953-11,2.73,,2.73,76.03,,76.03,33558.31,,33558.31
1953-12,4.96,,4.96,138.61,,138.61,33696.92,,33696.92
1954-01,13.10,,13.10,367.98,,367.98,34064.90,,34064.90
1954-02,-12.81,,-12.81,-363.55,,-363.55,33701.35,,33701.35
1954-03,-6.90,,-6.90,-193.69,,-193.69,33507.66,,33507.66
1954-04,7.12,,7.12,198.84,,198.84,33706.50,,33706.50
1954-05,-0.06,,-0.06,-1.70,,-1.70,33704.80,,33704.80
1954-06,3.94,,3.94,110.59,,110.59,33815.39,,33815.39
1954-07,8.58,,8.58,241.81,,241.81,34057.20,,34057.20
1954-08,-1.68,,-1.68,-47.64,,-47.64,34009.56,,34009.56
1954-09,4.51,,4.51,127.72,,127.72,34137.28,,34137.28
1954-10,7.95,,7.95,226.08,,226.08,34363.37,,34363.37
1954-11,8.56,,8.56,245.19,,245.19,34608.56,,34608.56
1954-12,14.55,,14.55,419.72,,419.72,35028.27,,35028.27
1955-01,11.79,,11.79,344.23,,344.23,35372.51,,35372.51
1955-02,18.76,,18.76,552.91,,552.91,35925.41,,35925.41
1955-03,20.21,,20.21,604.91,,604.91,36530.32,,36530.32
1955-04,23.16,,23.16,704.89,,704.89,37235.21,,37235.21
1955-05,16.16,,16.16,501.57,,501.57,37736.78,,37736.78
1955-06,25.44,,25.44,799.89,,799.89,38536.67,,38536.67
1955-07,15.34,,15.34,492.76,,492.76,39029.43,,39029.43
1955-08,21.62,,21.62,703.34,,703.34,39732.77,,39732.77
1955-09,19.98,,19.98,661.42,,661.42,40394.19,,40394.19
1955-10,13.06,,13.06,439.47,,439.47,40833.66,,40833.66
1955-11,15.67,,15.67,533.16,,533.16,41366.82,,41366.82
1955-12,14.57,,14.57,502.21,,502.21,41869.03,,41869.03
1956-01,7.20,,7.20,251.09,,251.09,42120.13,,42120.13
1956-02,12.56,,12.56,440.95,,440.95,42561.07,,42561.07
1956-03,18.16,,18.16,644.18,,644.18,43205.25,,43205.25
1956-04,4.96,,4.96,178.72,,178.72,43383.97,,43383.97
1956-05,11.50,,11.50,415.64,,415.64,43799.61,,43799.61
1956-06,6.96,,6.96,254.03,,254.03,44053.63,,44053.63
1956-07,3.26,,3.26,119.78,,119.78,44173.42,,44173.42
1956-08,8.84,,8.84,325.44,,325.44,44498.86,,44498.86
1956-09,7.55,,7.55,280.12,,280.12,44778.98,,44778.98
1956-10,4.16,,4.16,155.18,,155.18,44934.15,,44934.15
1956-11,12.46,,12.46,466.64,,466.64,45400.79,,45400.79
1956-12,1.25,,1.25,47.45,,47.45,45448.24,,45448.24
1957-01,6.66,,6.66,252.26,,252.26,45700.50,,45700.50
1957-02,8.97,,8.97,341.75,,341.75,46042.24,,46042.24
1957-03,5.29,,5.29,203.06,,203.06,46245.30,,46245.30
1957-04,7.06,,7.06,272.11,,272.11,46517.42,,46517.42
1957-05,8.27,,8.27,320.63,,320.63,46838.04,,46838.04
1957-06,4.16,,4.16,162.25,,162.25,47000.29,,47000.29
1957-07,9.40,,9.40,368.18,,368.18,47368.47,,47368.47
1957-08,7.04,,7.04,277.73,,277.73,47646.21,,47646.21
1957-09,2.40,,2.40,95.27,,95.27,47741.48,,47741.48
1957-10,3.46,,3.46,137.51,,137.51,47879.00,,47879.00
1957-11,2.02,,2.02,80.67,,80.67,47959.67,,47959.67
1957-12,2.97,,2.97,118.60,,118.60,48078.27,,48078.27
1958-01,5.35,,5.35,214.21,,214.21,48292.47,,48292.47
1958-02,-4.84,,-4.84,-194.95,,-194.95,48097.52,,48097.52
1958-03,-8.09,,-8.09,-324.08,,-324.08,47773.44,,47773.44
1958-04,-2.79,,-2.79,-110.94,,-110.94,47662.50,,47662.50
1958-05,-1.11,,-1.11,-44.21,,-44.21,47618.28,,47618.28
1958-06,-2.80,,-2.80,-110.92,,-110.92,47507.36,,47507.36
1958-07,1.13,,1.13,44.92,,44.92,47552.28,,47552.28
1958-08,1.03,,1.03,40.70,,40.70,47592.98,,47592.98
1958-09,3.02,,3.02,119.94,,119.94,47712.92,,47712.92
1958-10,2.77,,2.77,110.25,,110.25,47823.17,,47823.17
1958-11,4.12,,4.12,164.32,,164.32,47987.48,,47987.48
1958-12,10.17,,10.17,406.86,,406.86,48394.35,,48394.35
1959-01,14.05,,14.05,566.81,,566.81,48961.16,,48961.16
1959-02,13.54,,13.54,552.55,,552.55,49513.71,,49513.71
1959-03,11.97,,11.97,494.03,,494.03,50007.73,,50007.73
1959-04,10.93,,10.93,455.69,,455.69,50463.43,,50463.43
1959-05,12.93,,12.93,543.81,,543.81,51007.24,,51007.24
1959-06,15.72,,15.72,668.20,,668.20,51675.44,,51675.44
1959-07,15.82,,15.82,681.41,,681.41,52356.85,,52356.85
1959-08,15.62,,15.62,681.68,,681.68,53038.53,,53038.53
1959-09,14.60,,14.60,645.22,,645.22,53683.75,,53683.75
1959-10,15.25,,15.25,682.20,,682.20,54365.95,,54365.95
1959-11,9.47,,9.47,428.86,,428.86,54794.81,,54794.81
1959-12,26.63,,26.63,1215.87,,1215.87,56010.68,,56010.68
1960-01,0.10,,0.10,4.90,,4.90,56015.58,,56015.58
1960-02,7.48,,7.48,349.04,,349.04,56364.63,,56364.63
1960-03,10.61,,10.61,498.26,,498.26,56862.88,,56862.88
1960-04,17.91,,17.91,848.52,,848.52,57711.40,,57711.40
1960-05,4.98,,4.98,239.63,,239.63,57951.03,,57951.03
1960-06,9.03,,9.03,436.03,,436.03,58387.06,,58387.06
1960-07,7.39,,7.39,359.65,,359.65,58746.71,,58746.71
1960-08,4.09,,4.09,200.44,,200.44,58947.15,,58947.15
1960-09,8.50,,8.50,417.50,,417.50,59364.65,,59364.65
1960-10,5.34,,5.34,264.35,,264.35,59628.99,,59628.99
1960-11,4.93,,4.93,245.01,,245.01,59874.01,,59874.01
1960-12,3.03,,3.03,151.30,,151.30,60025.31,,60025.31
1961-01,12.93,,12.93,646.54,,646.54,60671.85,,60671.85
1961-02,-7.15,,-7.15,-361.72,,-361.72,60310.13,,60310.13
1961-03,2.89,,2.89,145.34,,145.34,60455.46,,60455.46
1961-04,-7.53,,-7.53,-379.59,,-379.59,60075.87,,60075.87
1961-05,2.07,,2.07,103.82,,103.82,60179.69,,60179.69
1961-06,3.09,,3.09,155.06,,155.06,60334.75,,60334.75
1961-07,1.22,,1.22,61.23,,61.23,60395.98,,60395.98
1961-08,4.44,,4.44,223.50,,223.50,60619.48,,60619.48
1961-09,5.22,,5.22,263.61,,263.61,60883.09,,60883.09
1961-10,5.42,,5.42,275.13,,275.13,61158.22,,61158.22
1961-11,11.58,,11.58,590.06,,590.06,61748.29,,61748.29
1961-12,9.72,,9.72,500.25,,500.25,62248.53,,62248.53
1962-01,0.66,,0.66,34.27,,34.27,62282.80,,62282.80
1962-02,6.89,,6.89,357.54,,357.54,62640.35,,62640.35
1962-03,9.35,,9.35,488.22,,488.22,63128.57,,63128.57
1962-04,14.04,,14.04,738.34,,738.34,63866.91,,63866.91
1962-05,13.79,,13.79,734.13,,734.13,64601.04,,64601.04
1962-06,9.96,,9.96,536.39,,536.39,65137.42,,65137.42
1962-07,6.90,,6.90,374.75,,374.75,65512.18,,65512.18
1962-08,9.95,,9.95,542.94,,542.94,66055.12,,66055.12
1962-09,6.96,,6.96,383.21,,383.21,66438.33,,66438.33
1962-10,10.67,,10.67,590.54,,590.54,67028.88,,67028.88
1962-11,10.98,,10.98,613.23,,613.23,67642.10,,67642.10
1962-12,8.60,,8.60,484.62,,484.62,68126.72,,68126.72
1963-01,9.33,,9.33,529.74,,529.74,68656.46,,68656.46
1963-02,12.59,,12.59,720.29,,720.29,69376.75,,69376.75
1963-03,12.05,,12.05,696.66,,696.66,70073.41,,70073.41
1963-04,12.47,,12.47,728.21,,728.21,70801.61,,70801.61
1963-05,9.04,,9.04,533.53,,533.53,71335.14,,71335.14
1963-06,9.09,,9.09,540.44,,540.44,71875.59,,71875.59
1963-07,14.04,,14.04,840.87,,840.87,72716.45,,72716.45
1963-08,14.19,,14.19,859.70,,859.70,73576.16,,73576.16
1963-09,9.68,,9.68,593.62,,593.62,74169.77,,74169.77
1963-10,15.26,,15.26,943.18,,943.18,75112.95,,75112.95
1963-11,7.89,,7.89,493.96,,493.96,75606.92,,75606.92
1963-12,15.47,,15.47,974.53,,974.53,76581.45,,76581.45
1964-01,13.79,,13.79,879.91,,879.91,77461.36,,77461.36
1964-02,13.55,,13.55,874.87,,874.87,78336.23,,78336.23
1964-03,13.85,,13.85,904.18,,904.18,79240.41,,79240.41
1964-04,10.11,,10.11,667.75,,667.75,79908.16,,79908.16
1964-05,13.91,,13.91,926.36,,926.36,80834.52,,80834.52
1964-06,8.81,,8.81,593.66,,593.66,81428.18,,81428.18
1964-07,12.77,,12.77,866.32,,866.32,82294.50,,82294.50
1964-08,9.89,,9.89,678.55,,678.55,82973.05,,82973.05
1964-09,13.72,,13.72,948.92,,948.92,83921.97,,83921.97
1964-10,8.70,,8.70,608.21,,608.21,84530.18,,84530.18
1964-11,5.88,,5.88,413.85,,413.85,84944.03,,84944.03
1964-12,14.35,,14.35,1015.55,,1015.55,85959.57,,85959.57
1965-01,17.07,,17.07,1223.02,,1223.02,87182.59,,87182.59
1965-02,13.34,,13.34,969.45,,969.45,88152.04,,88152.04
1965-03,10.40,,10.40,764.03,,764.03,88916.07,,88916.07
1965-04,15.27,,15.27,1131.34,,1131.34,90047.41,,90047.41
1965-05,11.17,,11.17,838.47,,838.47,90885.88,,90885.88
1965-06,12.47,,12.47,944.21,,944.21,91830.09,,91830.09
1965-07,11.30,,11.30,864.54,,864.54,92694.63,,92694.63
1965-08,7.67,,7.67,592.47,,592.47,93287.10,,93287.10
1965-09,10.80,,10.80,839.38,,839.38,94126.48,,94126.48
1965-10,8.64,,8.64,678.05,,678.05,94804.53,,94804.53
1965-11,7.60,,7.60,600.73,,600.73,95405.27,,95405.27
1965-12,6.91,,6.91,549.46,,549.46,95954.72,,95954.72
1966-01,13.46,,13.46,1075.99,,1075.99,97030.72,,97030.72
1966-02,9.00,,9.00,727.64,,727.64,97758.36,,97758.36
1966-03,8.45,,8.45,688.03,,688.03,98446.39,,98446.39
1966-04,4.37,,4.37,358.70,,358.70,98805.09,,98805.09
1966-05,6.08,,6.08,500.34,,500.34,99305.44,,99305.44
