"Series Description","Percent change of total consumer credit, seasonally adjusted at an annual rate","Percent change of total revolving consumer credit, seasonally adjusted at an annual rate","Percent change of total nonrevolving consumer credit, seasonally adjusted at an annual rate","Total consumer credit owned and securitized, seasonally adjusted flow, monthly rate","Revolving consumer credit owned and securitized, seasonally adjusted flow, monthly rate","Nonrevolving consumer credit owned and securitized, seasonally adjusted flow, monthly rate","Total consumer credit owned and securitized, seasonally adjusted level","Revolving consumer credit owned and securitized, seasonally adjusted level","Nonrevolving consumer credit owned and securitized, seasonally adjusted level"
2002-06,7.88,7.33,8.21,12566.98,4449.28,8117.71,1927180.98,732813.38,1194367.60
2002-07,7.49,5.65,8.62,12030.42,3451.08,8579.34,1939211.40,736264.46,1202946.94
2002-08,5.13,6.89,4.05,8288.69,4224.99,4063.70,1947500.09,740489.45,1207010.64
2002-09,1.94,4.60,0.31,3151.30,2836.90,314.40,1950651.39,743326.36,1207325.03
2002-10,4.00,7.45,1.88,6499.91,4613.22,1886.69,1957151.30,747939.58,1209211.73
2002-11,4.92,3.16,6.02,8027.82,1966.65,6061.17,1965179.13,749906.22,1215272.90
2002-12,4.23,1.67,5.82,6933.09,1041.23,5891.86,1972112.21,750947.45,1221164.76
2003-01,6.36,6.14,6.49,10449.10,3841.95,6607.15,1982561.31,754789.40,1227771.91
2003-02,6.56,6.06,6.87,10844.38,3811.94,7032.45,1993405.69,758601.34,1234804.35
2003-03,4.70,1.67,6.56,7802.46,1053.87,6748.59,2001208.15,759655.21,1241552.94
2003-04,7.73,1.73,11.40,12891.63,1097.22,11794.41,2014099.78,760752.43,1253347.35
2003-05,7.99,4.66,10.01,13402.73,2952.31,10450.42,2027502.51,763704.74,1263797.77
2003-06,3.41,0.17,5.37,5765.91,110.15,5655.76,2033268.41,763814.88,1269453.53
2003-07,4.01,0.90,5.88,6795.98,573.77,6222.21,2040064.39,764388.66,1275675.74
2003-08,5.33,3.04,6.70,9059.94,1935.74,7124.21,2049124.34,766324.40,1282799.94
2003-09,4.67,-0.44,7.72,7966.45,-282.47,8248.93,2057090.79,766041.92,1291048.87
2003-10,4.90,-0.79,8.28,8404.31,-506.73,8911.04,2065495.10,765535.19,1299959.91
2003-11,0.53,-0.83,1.32,904.99,-527.27,1432.26,2066400.09,765007.92,1301392.17
2003-12,6.37,5.10,7.11,10960.60,3250.39,7710.21,2077360.69,768258.31,1309102.38
2004-01,6.29,3.77,7.76,10882.35,2414.19,8468.16,2088243.04,770672.50,1317570.54
2004-02,4.08,2.63,4.93,7097.33,1689.77,5407.55,2095340.36,772362.27,1322978.09
2004-03,8.24,8.90,7.85,14379.96,5730.21,8649.75,2109720.32,778092.48,1331627.84
2004-04,1.70,-3.91,4.99,2995.82,-2537.70,5533.52,2112716.15,775554.79,1337161.36
2004-05,4.61,3.92,5.02,8123.00,2533.87,5589.14,2120839.15,778088.65,1342750.50
2004-06,4.05,2.53,4.92,7150.26,1642.57,5507.69,2127989.41,779731.22,1348258.19
2004-07,5.13,9.78,2.45,9103.57,6355.92,2747.65,2137092.98,786087.14,1351005.83
2004-08,3.56,1.41,4.81,6342.14,924.52,5417.62,2143435.12,787011.66,1356423.46
2004-09,9.36,10.10,8.93,16713.18,6624.15,10089.02,2160148.30,793635.81,1366512.48
2004-10,9.21,4.63,11.86,16571.05,3060.68,13510.37,2176719.34,796696.49,1380022.85
2004-11,3.87,0.74,5.69,7027.01,488.48,6538.53,2183746.35,797184.97,1386561.38
2004-12,4.67,3.56,5.31,8499.82,2367.21,6132.61,2192246.17,799552.18,1392693.99
2005-01,2.48,7.63,-0.48,4531.46,5083.58,-552.12,2196777.63,804635.76,1392141.86
2005-02,8.07,-0.79,13.20,14781.08,-528.47,15309.55,2211558.71,804107.29,1407451.42
2005-03,4.69,0.79,6.91,8640.48,532.68,8107.80,2220199.19,804639.97,1415559.22
2005-04,6.67,8.83,5.44,12336.18,5918.42,6417.77,2232535.38,810558.39,1421976.98
2005-05,0.07,-1.99,1.25,136.15,-1346.84,1482.98,2232671.52,809211.55,1423459.97
2005-06,8.15,7.37,8.59,15161.91,4970.10,10191.81,2247833.43,814181.65,1433651.78
2005-07,5.02,1.07,7.26,9397.52,726.81,8670.70,2257230.94,814908.46,1442322.48
2005-08,5.22,4.32,5.72,9813.93,2933.94,6879.99,2267044.88,817842.41,1449202.47
2005-09,2.43,2.65,2.30,4588.40,1809.35,2779.06,2271633.28,819651.75,1451981.53
2005-10,2.75,2.09,3.12,5209.86,1430.92,3778.94,2276843.14,821082.67,1455760.47
2005-11,3.59,7.01,1.67,6818.13,4795.42,2022.72,2283661.27,825878.08,1457783.19
2005-12,3.82,5.29,2.99,7266.86,3640.27,3626.59,2290928.13,829518.36,1461409.78
2006-01,0.74,6.97,-2.80,1409.57,4814.98,-3405.41,2367471.08,879577.12,1487893.96
2006-02,3.80,7.79,1.45,7506.24,5712.62,1793.62,2374977.32,885289.73,1489687.58
2006-03,5.47,4.00,6.34,10830.57,2953.85,7876.72,2385807.89,888243.58,1497564.31
2006-04,5.97,7.14,5.28,11872.71,5283.34,6589.37,2397680.60,893526.92,1504153.67
2006-05,4.75,7.98,2.82,9480.85,5944.40,3536.45,2407161.45,899471.33,1507690.12
2006-06,3.66,6.95,1.70,7351.73,5211.98,2139.76,2395813.18,897483.31,1498329.88
2006-07,3.65,1.60,4.88,7286.06,1193.33,6092.74,2403099.25,898676.63,1504422.61
2006-08,6.31,7.01,5.89,12632.79,5247.65,7385.14,2415732.03,903924.28,1511807.75
2006-09,5.50,5.16,5.71,11081.20,3890.06,7191.13,2426813.23,907814.35,1518998.89
2006-10,6.60,5.02,7.54,13339.44,3800.17,9539.27,2429399.86,911614.51,1517785.34
2006-11,5.61,7.54,4.44,11349.21,5731.66,5617.55,2440749.07,917346.18,1523402.89
2006-12,7.85,8.54,7.43,15966.64,6530.60,9436.03,2456715.70,923876.78,1532838.92
2007-01,0.60,4.87,-1.98,1229.87,3752.68,-2522.80,2457945.58,927629.46,1530316.12
2007-02,5.91,7.41,5.00,12104.34,5726.34,6378.00,2470049.92,933355.80,1536694.12
2007-03,6.99,6.57,7.24,14383.26,5107.78,9275.48,2484433.18,938463.58,1545969.60
2007-04,4.49,3.74,4.95,9296.59,2922.93,6373.66,2493729.77,941386.51,1552343.26
2007-05,7.84,11.78,5.45,16286.29,9239.53,7046.76,2510016.06,950626.04,1559390.02
2007-06,4.35,4.16,4.47,9104.97,3299.05,5805.93,2519121.04,953925.09,1565195.95
2007-07,5.72,5.53,5.83,11999.64,4397.23,7602.41,2533667.67,958322.31,1575345.36
2007-08,9.05,12.40,7.01,19099.40,9903.31,9196.09,2552767.07,968225.62,1584541.45
2007-09,6.69,9.02,5.27,14228.28,7274.15,6954.13,2566995.36,975499.77,1591495.59
2007-10,7.17,9.05,6.02,15330.68,7353.08,7977.60,2582326.03,982852.85,1599473.18
2007-11,7.12,14.30,2.71,15323.27,11712.43,3610.83,2597649.30,994565.28,1603084.02
2007-12,5.46,8.52,3.57,11827.23,7060.01,4767.22,2609476.53,1001625.30,1607851.24
2008-01,4.58,7.68,2.64,9951.11,6409.16,3541.95,2619427.65,1008034.46,1611393.19
2008-02,6.90,8.23,6.08,15068.78,6910.00,8158.78,2634496.42,1014944.46,1619551.97
2008-03,5.06,2.16,6.88,11107.21,1827.54,9279.67,2645603.64,1016772.00,1628831.64
2008-04,3.92,2.08,5.07,8639.59,1759.96,6879.63,2654243.23,1018531.96,1635711.27
2008-05,2.69,1.30,3.55,5949.92,1104.99,4844.92,2660193.15,1019636.96,1640556.19
2008-06,1.00,-0.37,1.85,2216.38,-314.89,2531.27,2662409.52,1019322.07,1643087.46
2008-07,1.31,-1.13,2.83,2911.73,-958.16,3869.90,2665321.26,1018363.90,1646957.35
2008-08,-1.39,-1.10,-1.57,-3083.47,-933.38,-2150.10,2662237.78,1017430.52,1644807.26
2008-09,-2.19,-5.74,0.02,-4848.65,-4869.59,20.93,2657389.13,1012560.94,1644828.19
2008-10,1.51,4.62,-0.41,3340.38,3900.40,-560.02,2660729.50,1016461.34,1644268.17
2008-11,-4.17,-7.06,-2.39,-9248.11,-5979.28,-3268.83,2651481.39,1010482.06,1640999.33
2008-12,-3.48,-7.70,-0.88,-7692.43,-6485.01,-1207.42,2643788.96,1003997.04,1639791.92
2009-01,1.47,3.85,0.02,3239.90,3218.20,21.70,2647028.86,1007215.24,1639813.61
2009-02,-3.85,-9.94,-0.11,-8496.11,-8339.07,-157.05,2638532.74,998876.18,1639656.56
2009-03,-7.14,-17.26,-0.98,-15704.89,-14363.55,-1341.34,2622827.85,984512.63,1638315.23
2009-04,-3.14,-4.69,-2.20,-6854.85,-3846.49,-3008.36,2615973.01,980666.14,1635306.87
2009-05,-5.40,-17.02,1.57,-11762.23,-13905.80,2143.58,2610010.78,966760.34,1643250.44
2009-06,-8.52,-4.48,-10.90,-18535.37,-3613.25,-14922.13,2591475.41,963147.09,1628328.32
2009-07,-0.29,-3.65,1.70,-620.43,-2929.75,2309.32,2590854.98,960217.34,1630637.63
2009-08,-4.04,-10.21,-0.41,-8728.96,-8172.30,-556.66,2582126.01,952045.04,1630080.98
2009-09,-2.57,-5.20,-1.04,-5531.63,-4121.78,-1409.85,2576594.39,947923.26,1628671.13
2009-10,-6.13,-9.53,-4.16,-13171.66,-7531.15,-5640.51,2563422.73,940392.11,1623030.62
2009-11,-5.55,-19.87,2.75,-11853.44,-15571.19,3717.76,2551569.29,924820.91,1626748.38
2009-12,1.62,-11.35,8.99,3447.35,-8744.28,12191.63,2555016.64,916076.63,1638940.01
2010-01,-6.93,-8.39,-6.11,-14745.27,-6406.86,-8338.41,2540271.37,909669.77,1630601.60
2010-02,-4.43,-8.56,-2.13,-9384.04,-6489.49,-2894.55,2530887.33,903180.28,1627707.05
2010-03,1.59,-11.09,8.63,3358.61,-8347.06,11705.67,2537845.94,898433.22,1639412.72
2010-04,-2.29,-5.07,-0.77,-4849.06,-3795.82,-1053.24,2532996.88,894637.40,1638359.47
2010-05,-3.93,-14.38,1.77,-8296.85,-10717.08,2420.23,2524700.03,883920.32,1640779.71
2010-06,-1.86,-9.64,2.34,-3908.73,-7102.71,3193.98,2520791.29,876817.61,1643973.69
2010-07,-0.23,-7.18,3.48,-475.62,-5248.92,4773.31,2520315.68,871568.69,1648746.99
2010-08,0.21,-7.08,4.06,435.17,-5138.97,5574.13,2520750.84,866429.72,1654321.12
2010-09,0.47,-7.90,4.85,984.74,-5707.28,6692.02,2521735.59,860722.44,1661013.14
2010-10,4.68,-8.41,11.47,9843.62,-6028.71,15872.32,2531579.20,854693.73,1676885.47
2010-11,-0.74,-6.06,1.97,-1557.08,-4313.54,2756.46,2530022.12,850380.19,1679641.92
2010-12,0.21,-0.89,0.77,441.73,-633.04,1074.78,2646811.26,839102.67,1807708.59
2011-01,3.64,-5.11,7.69,8018.63,-3570.48,11589.10,2654829.89,835532.19,1819297.69
2011-02,4.50,-1.83,7.41,9965.62,-1272.81,11238.43,2664795.51,834259.39,1830536.12
2011-03,3.82,2.47,4.44,8492.01,1720.56,6771.45,2673287.52,835979.95,1837307.57
2011-04,3.05,-5.00,6.72,6801.70,-3480.54,10282.23,2680089.22,832499.42,1847589.80
2011-05,2.79,1.17,3.52,6236.81,811.41,5425.39,2686326.03,833310.83,1853015.20
2011-06,3.87,4.12,3.76,8662.68,2858.46,5804.22,2694988.71,836169.29,1858819.42
2011-07,10.00,-0.94,14.91,22449.98,-652.05,23102.03,2717438.68,835517.24,1881921.44
2011-08,-3.38,0.89,-5.28,-7663.24,619.58,-8282.82,2709775.45,836136.82,1873638.62
2011-09,4.70,2.14,5.83,10603.70,1493.21,9110.49,2720379.14,837630.04,1882749.11
2011-10,3.88,0.28,5.49,8804.53,196.72,8607.81,2729183.67,837826.76,1891356.91
2011-11,7.49,5.70,8.28,17036.36,3982.22,13054.15,2746220.03,841808.97,1904411.06
2011-12,4.52,-2.08,7.43,10340.82,-1455.75,11796.57,2756560.85,840353.23,1916207.63
2012-01,4.70,0.11,6.71,10793.30,79.35,10713.95,2767354.15,840432.58,1926921.57
2012-02,4.08,1.96,5.00,9401.19,1372.66,8028.53,2776755.34,841805.24,1934950.11
2012-03,5.99,-0.74,8.92,13871.81,-518.57,14390.38,2790627.16,841286.66,1949340.49
2012-04,5.31,-4.83,9.69,12357.43,-3384.04,15741.47,2802984.59,837902.63,1965081.96
2012-05,7.58,5.03,8.67,17704.69,3509.29,14195.40,2820689.28,841411.92,1979277.36
2012-06,5.63,-3.85,9.66,13231.07,-2699.16,15930.23,2831920.35,838712.75,1993207.59
2012-07,3.67,-2.56,6.29,8662.74,-1789.98,10452.72,2840583.09,836922.77,2003660.32
2012-08,7.65,7.16,7.86,18120.41,4993.57,13126.85,2858703.50,841916.34,2016787.16
2012-09,4.17,-0.90,6.29,9937.56,-631.87,10569.43,2868641.07,841284.47,2027356.60
2012-10,7.27,3.72,8.75,17387.72,2607.80,14779.92,2886028.78,843892.27,2042136.52
2012-11,6.91,1.70,9.06,16611.95,1198.79,15413.16,2902640.73,845091.06,2057549.67
2012-12,4.52,-6.71,9.13,10932.29,-4727.22,15659.51,2913573.02,840363.84,2073209.18
2013-01,6.49,5.02,7.09,15765.56,3513.57,12251.98,2929338.58,843877.41,2085461.17
2013-02,8.60,4.27,10.35,20993.46,3005.89,17987.57,2950332.04,846883.30,2103448.74
2013-03,4.28,-1.69,6.68,10515.92,-1191.66,11707.58,2960847.96,845691.64,2115156.32
2013-04,4.66,1.27,6.01,11488.23,894.49,10593.74,2972336.20,846586.13,2125750.07
2013-05,6.34,5.20,6.79,15694.42,3665.87,12028.55,2988030.62,850252.00,2137778.62
2013-06,5.26,-0.96,7.74,13108.47,-677.81,13786.28,3001139.09,849574.20,2151564.89
2013-07,5.64,0.51,7.66,14105.51,363.69,13741.81,3015244.60,849937.89,2165306.71
2013-08,6.39,1.67,8.24,16053.94,1183.69,14870.25,3031298.54,851121.58,2180176.96
2013-09,6.76,1.13,8.96,17082.45,798.53,16283.91,3048380.98,851920.11,2196460.87
2013-10,6.66,4.58,7.47,16923.03,3250.32,13672.71,3065304.01,855170.43,2210133.58
2013-11,4.52,-3.31,7.56,11556.89,-2361.99,13918.88,3076860.90,852808.44,2224052.46
2013-12,5.68,2.61,6.85,14552.88,1855.36,12697.51,3091413.78,854663.80,2236749.97
2014-01,7.12,5.18,7.86,18348.40,3692.08,14656.32,3109762.18,858355.89,2251406.29
2014-02,6.87,3.68,8.08,17791.88,2630.81,15161.07,3127554.06,860986.70,2266567.36
2014-03,7.00,2.34,8.77,18250.59,1677.30,16573.29,3145804.65,862664.00,2283140.65
2014-04,9.03,11.05,8.27,23676.00,7944.32,15731.68,3169480.65,870608.32,2298872.33
2014-05,6.89,3.45,8.19,18184.97,2502.05,15682.92,3187665.62,873110.37,2314555.25
2014-06,6.54,0.89,8.67,17359.87,646.31,16713.56,3205025.49,873756.68,2331268.81
2014-07,8.16,7.48,8.41,21792.63,5449.62,16343.01,3226818.12,879206.30,2347611.82
2014-08,6.50,2.08,8.15,17477.89,1526.34,15951.54,3244296.01,880732.64,2363563.36
2014-09,6.10,1.11,7.96,16501.64,815.19,15686.46,3260797.65,881547.83,2379249.82
2014-10,3.76,3.11,4.00,10223.55,2286.89,7936.65,3271021.20,883834.72,2387186.47
2014-11,5.19,-0.31,7.22,14143.94,-227.63,14371.57,3285165.13,883607.09,2401558.04
2014-12,9.99,5.99,11.46,27339.95,4410.55,22929.40,3312505.08,888017.64,2424487.44
2015-01,5.03,1.92,6.17,13891.41,1420.26,12471.15,3326396.49,889437.90,2436958.59
2015-02,6.59,0.99,8.64,18276.26,730.79,17545.47,3344672.75,890168.70,2454504.06
2015-03,8.14,8.03,8.18,22692.22,5959.85,16732.37,3367364.97,896128.55,2471236.43
2015-04,7.47,9.25,6.83,20974.71,6905.22,14069.49,3388339.68,903033.77,2485305.91
2015-05,6.08,2.53,7.37,17169.60,1900.60,15269.01,3405509.29,904934.37,2500574.92
2015-06,9.67,7.83,10.34,27451.35,5903.58,21547.78,3432960.64,910837.95,2522122.70
2015-07,6.12,5.43,6.37,17507.03,4124.61,13382.42,3450467.67,914962.56,2535505.12
2015-08,5.08,3.73,5.56,14604.36,2846.86,11757.49,3465072.03,917809.42,2547262.61
2015-09,9.20,7.76,9.71,26556.76,5935.18,20621.58,3491628.79,923744.60,2567884.19
2015-10,4.92,2.88,5.65,14308.13,2214.81,12093.32,3505936.92,925959.41,2579977.51
2015-11,5.82,5.27,6.02,17007.45,4067.29,12940.17,3522944.37,930026.70,2592917.67
2015-12,7.97,7.69,8.07,23398.88,5960.53,17438.35,3410996.57,906744.37,2504252.20
2016-01,6.89,4.58,7.73,19591.92,3461.45,16130.47,3430588.49,910205.82,2520382.67
2016-02,5.39,3.20,6.18,15414.85,2425.36,12989.49,3446003.35,912631.18,2533372.16
2016-03,8.83,14.81,6.67,25347.77,11265.50,14082.28,3471351.12,923896.68,2547454.44
2016-04,7.34,5.26,8.10,21232.91,4046.31,17186.60,3492584.03,927942.99,2564641.04
2016-05,6.57,4.76,7.23,19136.04,3677.25,15458.79,3511720.07,931620.24,2580099.83
2016-06,6.22,10.09,4.81,18188.72,7836.44,10352.28,3529908.79,939456.68,2590452.11
2016-07,5.88,5.77,5.93,17310.26,4518.71,12791.55,3547219.05,943975.40,2603243.65
2016-08,8.48,6.06,9.35,25057.05,4769.78,20287.27,3572276.10,948745.17,2623530.93
2016-09,5.98,4.72,6.43,17788.07,3729.49,14058.59,3590064.17,952474.66,2637589.51
2016-10,6.17,2.95,7.33,18452.50,2342.40,16110.10,3608516.67,954817.06,2653699.61
2016-11,7.66,13.77,5.45,23019.80,10957.67,12062.14,3631536.48,965774.73,2665761.75
2016-12,4.17,2.72,4.69,12607.13,2185.93,10421.20,3644143.61,967960.66,2676182.95
2017-01,5.29,3.39,5.98,16077.74,2735.82,13341.92,3660221.35,970696.48,2689524.87
2017-02,5.93,7.37,5.41,18101.26,5965.16,12136.10,3678322.61,976661.64,2701660.97
2017-03,4.56,4.91,4.44,13982.91,3993.97,9988.94,3692305.52,980655.62,2711649.91
2017-04,4.51,2.49,5.24,13875.33,2033.98,11841.36,3706180.86,982689.59,2723491.26
2017-05,5.37,7.91,4.45,16574.21,6475.00,10099.22,3722755.07,989164.59,2733590.48
2017-06,4.98,4.60,5.11,15444.77,3793.64,11651.13,3738199.84,992958.23,2745241.61
2017-07,4.55,2.69,5.23,14183.15,2228.13,11955.02,3752382.99,995186.36,2757196.63
2017-08,3.02,4.44,2.51,9439.64,3680.76,5758.89,3761822.63,998867.12,2762955.52
2017-09,2.67,6.13,1.42,8382.85,5105.86,3277.00,3770205.49,1003972.97,2766232.52
2017-10,5.65,6.09,5.49,17760.14,5098.12,12662.03,3787965.63,1009071.09,2778894.54
2017-11,9.48,13.84,7.89,29910.27,11635.67,18274.59,3817875.90,1020706.76,2797169.13
2017-12,3.26,1.68,3.84,10374.36,1428.04,8946.32,3828250.26,1022134.80,2806115.45
2018-01,3.74,2.25,4.28,11925.26,1919.33,10005.93,3840175.52,1024054.13,2816121.39
2018-02,3.70,0.77,4.76,11828.83,653.72,11175.11,3852004.35,1024707.85,2827296.50
2018-03,3.20,-0.91,4.69,10267.20,-775.10,11042.30,3862271.55,1023932.75,2838338.80
2018-04,3.29,0.87,4.16,10577.89,739.14,9838.74,3864952.44,1016774.90,2848177.54
2018-05,6.66,9.86,5.52,21452.35,8356.06,13096.29,3886404.78,1025130.96,2861273.83
2018-06,2.73,-1.14,4.11,8830.21,-974.47,9804.68,3895235.00,1024156.49,2871078.51
2018-07,5.38,2.69,6.34,17463.88,2298.49,15165.39,3920298.88,1034054.98,2886243.90
2018-08,6.56,5.77,6.84,21431.08,4971.76,16459.32,3941729.97,1039026.74,2902703.23
2018-09,4.35,1.68,5.31,14297.84,1454.98,12842.85,3956027.80,1040481.72,2915546.08
2018-10,6.04,10.05,4.61,19919.93,8711.19,11208.74,3975947.73,1049192.91,2926754.82
2018-11,6.59,8.01,6.07,21824.28,7007.68,14816.60,3997772.01,1056200.59,2941571.42
2018-12,3.60,-3.09,6.00,11983.59,-2721.64,14705.23,4009755.60,1053478.96,2956276.65
2019-01,5.13,3.64,5.65,17126.40,3199.05,13927.35,4026882.01,1056678.00,2970204.00
2019-02,4.68,4.09,4.89,15705.74,3598.71,12107.03,4042587.75,1060276.71,2982311.04
2019-03,2.96,-3.18,5.14,9961.22,-2811.78,12773.00,4052548.96,1057464.93,2995084.03
2019-04,4.88,7.44,3.98,16474.48,6552.09,9922.39,4069023.45,1064017.02,3005006.42
2019-05,4.94,8.34,3.74,16756.81,7398.54,9358.28,4085780.26,1071415.56,3014364.70
2019-06,4.05,-0.21,5.56,13781.11,-186.33,13967.43,4099561.36,1071229.23,3028332.13
2019-07,6.82,11.21,5.27,23293.63,10004.51,13289.12,4122854.99,1081233.74,3041621.26